source_locus_tag	target_locus_tag	weight	association	target_organism	target_gene	source_organism	source_gene	cross_species	source_organism_name	target_organism_name	source_gene_product	target_gene_product
Ga0081629_12085	Ga0081629_12073	0.05048	positive	Ga0081629	12073	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	cold-shock DNA-binding protein family
Ga0081629_12073	Ga0081629_12085	0.05048	positive	Ga0081629	12085	Ga0081629	12073	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	cold-shock DNA-binding protein family	hypothetical protein
Ga0081629_11844	Ga0081629_11135	0.04975	positive	Ga0081629	11135	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	hypothetical protein
Ga0081629_11135	Ga0081629_11844	0.04975	positive	Ga0081629	11844	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	SSU ribosomal protein S20P
Ga0081607_10311	Ga0081607_107612	0.04876	positive	Ga0081607	107612	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_107612	Ga0081607_10311	0.04876	positive	Ga0081607	10311	Ga0081607	107612	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_113410	Ga0081607_11349	0.04646	positive	Ga0081607	11349	Ga0081607	113410	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	Methyltransferase domain-containing protein
Ga0081607_11349	Ga0081607_113410	0.04646	positive	Ga0081607	113410	Ga0081607	11349	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Methyltransferase domain-containing protein	hypothetical protein
Ga0081629_11135	Ga0081629_10591	0.04638	positive	Ga0081629	10591	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	3-hexulose-6-phosphate synthase
Ga0081629_10591	Ga0081629_11135	0.04638	positive	Ga0081629	11135	Ga0081629	10591	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	3-hexulose-6-phosphate synthase	hypothetical protein
Ga0081629_11362	Ga0081629_12205	0.04588	positive	Ga0081629	12205	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	hypothetical protein
Ga0081629_12205	Ga0081629_11362	0.04588	positive	Ga0081629	11362	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein CpaB
Ga0081607_108023	Ga0081607_107940	0.04583	positive	Ga0081607	107940	Ga0081607	108023	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	MraZ protein	hypothetical protein
Ga0081607_107940	Ga0081607_108023	0.04583	positive	Ga0081607	108023	Ga0081607	107940	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	MraZ protein
Ga0081629_10266	Ga0081629_11365	0.04537	positive	Ga0081629	11365	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	pilus assembly protein Flp/PilA
Ga0081629_11365	Ga0081629_10266	0.04537	positive	Ga0081629	10266	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	type IV pilus assembly protein PilA
Ga0081629_10632	Ga0081629_11451	0.04406	positive	Ga0081629	11451	Ga0081629	10632	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative DNA-binding protein
Ga0081629_11451	Ga0081629_10632	0.04406	positive	Ga0081629	10632	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	hypothetical protein
Ga0081607_10311	Ga0081607_125326	0.04401	positive	Ga0081607	125326	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_125326	Ga0081607_10311	0.04401	positive	Ga0081607	10311	Ga0081607	125326	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_105315	Ga0081629_11362	0.0439	positive	Ga0081629	11362	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein CpaB
Ga0081629_11362	Ga0081629_105315	0.0439	positive	Ga0081629	105315	Ga0081629	11362	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein CpaB	hypothetical protein
Ga0081629_12205	Ga0081629_10478	0.04379	positive	Ga0081629	10478	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative sigma-54 modulation protein
Ga0081629_10478	Ga0081629_12205	0.04379	positive	Ga0081629	12205	Ga0081629	10478	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative sigma-54 modulation protein	hypothetical protein
Ga0081629_11135	Ga0081629_10632	0.0431	positive	Ga0081629	10632	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_10632	Ga0081629_11135	0.0431	positive	Ga0081629	11135	Ga0081629	10632	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_12205	Ga0081629_105315	0.04275	positive	Ga0081629	105315	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_105315	Ga0081629_12205	0.04275	positive	Ga0081629	12205	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_11451	Ga0081629_10266	0.04218	positive	Ga0081629	10266	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	type IV pilus assembly protein PilA
Ga0081629_10266	Ga0081629_11451	0.04218	positive	Ga0081629	11451	Ga0081629	10266	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	type IV pilus assembly protein PilA	putative DNA-binding protein
Ga0081607_121224	Ga0081607_121225	0.04182	positive	Ga0081607	121225	Ga0081607	121224	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	PQQ-dependent dehydrogenase, methanol/ethanol family
Ga0081607_121225	Ga0081607_121224	0.04182	positive	Ga0081607	121224	Ga0081607	121225	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ-dependent dehydrogenase, methanol/ethanol family	hypothetical protein
Ga0081607_11331	Ga0081607_113621	0.04172	positive	Ga0081607	113621	Ga0081607	11331	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	flagellar hook-length control protein
Ga0081607_113621	Ga0081607_11331	0.04172	positive	Ga0081607	11331	Ga0081607	113621	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar hook-length control protein	hypothetical protein
Ga0081629_12085	Ga0081629_11844	0.04147	positive	Ga0081629	11844	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	SSU ribosomal protein S20P
Ga0081629_11844	Ga0081629_12085	0.04147	positive	Ga0081629	12085	Ga0081629	11844	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	SSU ribosomal protein S20P	hypothetical protein
Ga0081607_108422	Ga0081629_12085	-0.04138	negative	Ga0081629	12085	Ga0081607	108422	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	competence protein ComEA	hypothetical protein
Ga0081629_12085	Ga0081607_108422	-0.04138	negative	Ga0081607	108422	Ga0081629	12085	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	competence protein ComEA
Ga0081607_11288	Ga0081629_122127	-0.04124	negative	Ga0081629	122127	Ga0081607	11288	True	Methylobacter-123 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	LSU ribosomal protein L35P
Ga0081629_122127	Ga0081607_11288	-0.04124	negative	Ga0081607	11288	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081607_11332	Ga0081607_11331	0.04095	positive	Ga0081607	11331	Ga0081607	11332	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_11331	Ga0081607_11332	0.04095	positive	Ga0081607	11332	Ga0081607	11331	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_113621	Ga0081607_11332	0.04065	positive	Ga0081607	11332	Ga0081607	113621	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar hook-length control protein	hypothetical protein
Ga0081607_11332	Ga0081607_113621	0.04065	positive	Ga0081607	113621	Ga0081607	11332	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	flagellar hook-length control protein
Ga0081607_110243	Ga0081607_121110	0.0406	positive	Ga0081607	121110	Ga0081607	110243	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	transposase, IS5 family
Ga0081629_114116	Ga0081629_12085	0.0406	positive	Ga0081629	12085	Ga0081629	114116	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	nitric oxide reductase, NorC subunit apoprotein	hypothetical protein
Ga0081607_121110	Ga0081607_110243	0.0406	positive	Ga0081607	110243	Ga0081607	121110	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	transposase, IS5 family	hypothetical protein
Ga0081629_12085	Ga0081629_114116	0.0406	positive	Ga0081629	114116	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	nitric oxide reductase, NorC subunit apoprotein
Ga0081629_12205	Ga0081629_11451	0.04051	positive	Ga0081629	11451	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative DNA-binding protein
Ga0081629_11451	Ga0081629_12205	0.04051	positive	Ga0081629	12205	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	hypothetical protein
Ga0081629_11162	Ga0081629_12205	0.04048	positive	Ga0081629	12205	Ga0081629	11162	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	outer membrane protein	hypothetical protein
Ga0081629_12205	Ga0081629_11162	0.04048	positive	Ga0081629	11162	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	outer membrane protein
Ga0081629_105315	Ga0081629_12128	0.04046	positive	Ga0081629	12128	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_12128	Ga0081629_105315	0.04046	positive	Ga0081629	105315	Ga0081629	12128	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_11365	Ga0081629_105315	0.0401	positive	Ga0081629	105315	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	hypothetical protein
Ga0081629_105315	Ga0081629_11365	0.0401	positive	Ga0081629	11365	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein Flp/PilA
Ga0081607_107940	Ga0081607_11349	0.03987	positive	Ga0081607	11349	Ga0081607	107940	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	Methyltransferase domain-containing protein
Ga0081607_11349	Ga0081607_107940	0.03987	positive	Ga0081607	107940	Ga0081607	11349	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Methyltransferase domain-containing protein	hypothetical protein
Ga0081607_113411	Ga0081607_113410	0.03979	positive	Ga0081607	113410	Ga0081607	113411	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	predicted hydrolase or acyltransferase of alpha/beta superfamily	hypothetical protein
Ga0081607_113410	Ga0081607_113411	0.03979	positive	Ga0081607	113411	Ga0081607	113410	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	predicted hydrolase or acyltransferase of alpha/beta superfamily
Ga0081629_10401	Ga0081629_10632	0.03935	positive	Ga0081629	10632	Ga0081629	10401	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	flagellin	hypothetical protein
Ga0081629_10632	Ga0081629_10401	0.03935	positive	Ga0081629	10401	Ga0081629	10632	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	flagellin
Ga0081607_116826	Ga0081607_11332	0.03927	positive	Ga0081607	11332	Ga0081607	116826	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	diguanylate cyclase (GGDEF) domain-containing protein	hypothetical protein
Ga0081607_11332	Ga0081607_116826	0.03927	positive	Ga0081607	116826	Ga0081607	11332	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	diguanylate cyclase (GGDEF) domain-containing protein
Ga0081629_11451	Ga0081629_11135	0.03896	positive	Ga0081629	11135	Ga0081629	11451	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	putative DNA-binding protein	hypothetical protein
Ga0081629_11135	Ga0081629_11451	0.03896	positive	Ga0081629	11451	Ga0081629	11135	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	putative DNA-binding protein
Ga0081607_10651	Ga0081607_109629	0.03854	positive	Ga0081607	109629	Ga0081607	10651	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	molecular chaperone DnaK
Ga0081607_109629	Ga0081607_10651	0.03854	positive	Ga0081607	10651	Ga0081607	109629	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	molecular chaperone DnaK	hypothetical protein
Ga0081629_122127	Ga0081629_10478	0.03807	positive	Ga0081629	10478	Ga0081629	122127	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	LSU ribosomal protein L35P	putative sigma-54 modulation protein
Ga0081629_12205	Ga0081629_10206	0.03805	positive	Ga0081629	10206	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	RNA-binding protein Hfq
Ga0081629_10206	Ga0081629_12205	0.03805	positive	Ga0081629	12205	Ga0081629	10206	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	RNA-binding protein Hfq	hypothetical protein
Ga0081629_10206	Ga0081629_105315	0.0376	positive	Ga0081629	105315	Ga0081629	10206	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	RNA-binding protein Hfq	hypothetical protein
Ga0081629_105315	Ga0081629_10206	0.0376	positive	Ga0081629	10206	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	RNA-binding protein Hfq
Ga0081607_114272	Ga0081607_117613	0.03752	positive	Ga0081607	117613	Ga0081607	114272	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_117613	Ga0081607_114272	0.03752	positive	Ga0081607	114272	Ga0081607	117613	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081629_10373	Ga0081629_105315	0.03742	positive	Ga0081629	105315	Ga0081629	10373	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	formaldehyde activating enzyme	hypothetical protein
Ga0081629_105315	Ga0081629_10373	0.03742	positive	Ga0081629	10373	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	formaldehyde activating enzyme
Ga0081607_11332	Ga0081607_122015	0.03736	positive	Ga0081607	122015	Ga0081607	11332	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	flagellar basal-body rod protein FlgC
Ga0081607_122015	Ga0081607_11332	0.03736	positive	Ga0081607	11332	Ga0081607	122015	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	flagellar basal-body rod protein FlgC	hypothetical protein
Ga0081629_12205	Ga0081629_11365	0.03712	positive	Ga0081629	11365	Ga0081629	12205	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	pilus assembly protein Flp/PilA
Ga0081629_11365	Ga0081629_12205	0.03712	positive	Ga0081629	12205	Ga0081629	11365	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	pilus assembly protein Flp/PilA	hypothetical protein
Ga0081607_10701	Ga0081607_116221	0.03699	positive	Ga0081607	116221	Ga0081607	10701	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	type IV pilus assembly protein PilA
Ga0081607_110243	Ga0081607_11022	0.0369	positive	Ga0081607	11022	Ga0081607	110243	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	cobalt transporter subunit CbtB
Ga0081607_11022	Ga0081607_110243	0.0369	positive	Ga0081607	110243	Ga0081607	11022	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	cobalt transporter subunit CbtB	hypothetical protein
Ga0081607_11349	Ga0081607_10311	0.03682	positive	Ga0081607	10311	Ga0081607	11349	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Methyltransferase domain-containing protein	hypothetical protein
Ga0081607_10311	Ga0081607_11349	0.03682	positive	Ga0081607	11349	Ga0081607	10311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	Methyltransferase domain-containing protein
Ga0081607_125326	Ga0081607_107940	-0.03642	negative	Ga0081607	107940	Ga0081607	125326	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_107940	Ga0081607_125326	-0.03642	negative	Ga0081607	125326	Ga0081607	107940	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_12192	Ga0081607_10651	0.03637	positive	Ga0081607	10651	Ga0081607	12192	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	Small metal-binding protein	hypothetical protein
Ga0081607_10651	Ga0081607_12192	0.03637	positive	Ga0081607	12192	Ga0081607	10651	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	Small metal-binding protein
Ga0081629_12085	Ga0081629_10591	0.03618	positive	Ga0081629	10591	Ga0081629	12085	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	3-hexulose-6-phosphate synthase
Ga0081629_10591	Ga0081629_12085	0.03618	positive	Ga0081629	12085	Ga0081629	10591	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	3-hexulose-6-phosphate synthase	hypothetical protein
Ga0081607_11288	Ga0081607_11136	0.03605	positive	Ga0081607	11136	Ga0081607	11288	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	LSU ribosomal protein L27P
Ga0081607_11136	Ga0081607_11288	0.03605	positive	Ga0081607	11288	Ga0081607	11136	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L27P	hypothetical protein
Ga0081607_117613	Ga0081607_118610	0.03588	positive	Ga0081607	118610	Ga0081607	117613	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_118610	Ga0081607_117613	0.03588	positive	Ga0081607	117613	Ga0081607	118610	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	hypothetical protein
Ga0081607_120416	Ga0081607_107940	0.03584	positive	Ga0081607	107940	Ga0081607	120416	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	integron integrase	hypothetical protein
Ga0081607_107940	Ga0081607_120416	0.03584	positive	Ga0081607	120416	Ga0081607	107940	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	integron integrase
Ga0081629_109314	Ga0081629_105315	0.03568	positive	Ga0081629	105315	Ga0081629	109314	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	prepilin-type N-terminal cleavage/methylation domain-containing protein	hypothetical protein
Ga0081629_105315	Ga0081629_109314	0.03568	positive	Ga0081629	109314	Ga0081629	105315	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	prepilin-type N-terminal cleavage/methylation domain-containing protein
Ga0081607_121224	Ga0081607_111620	0.0356	positive	Ga0081607	111620	Ga0081607	121224	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	PQQ enzyme repeat-containing protein
Ga0081607_111620	Ga0081607_121224	0.0356	positive	Ga0081607	121224	Ga0081607	111620	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PQQ enzyme repeat-containing protein	hypothetical protein
Ga0081629_12128	Ga0081629_10401	0.03542	positive	Ga0081629	10401	Ga0081629	12128	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	hypothetical protein	flagellin
Ga0081629_10401	Ga0081629_12128	0.03542	positive	Ga0081629	12128	Ga0081629	10401	False	Methylotenera mobilis-49 (UID203)	Methylotenera mobilis-49 (UID203)	flagellin	hypothetical protein
Ga0081607_104311	Ga0081607_122018	0.0351	positive	Ga0081607	122018	Ga0081607	104311	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	anti-sigma-28 factor, FlgM family
Ga0081607_122018	Ga0081607_104311	0.0351	positive	Ga0081607	104311	Ga0081607	122018	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	anti-sigma-28 factor, FlgM family	hypothetical protein
Ga0081629_122127	Ga0081607_116319	0.03485	positive	Ga0081607	116319	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081629_122127	Ga0081607_114272	0.03482	positive	Ga0081607	114272	Ga0081629	122127	True	Methylotenera mobilis-49 (UID203)	Methylobacter-123 (UID203)	LSU ribosomal protein L35P	hypothetical protein
Ga0081607_108422	Ga0081607_10524	0.034	positive	Ga0081607	10524	Ga0081607	108422	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	competence protein ComEA	hypothetical protein
Ga0081607_10524	Ga0081607_108422	0.034	positive	Ga0081607	108422	Ga0081607	10524	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	competence protein ComEA
Ga0081607_110243	Ga0081607_112315	0.03366	positive	Ga0081607	112315	Ga0081607	110243	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	hypothetical protein	CTP synthase
Ga0081607_112315	Ga0081607_110243	0.03366	positive	Ga0081607	110243	Ga0081607	112315	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	CTP synthase	hypothetical protein
Ga0081607_113613	Ga0081607_11331	0.03355	positive	Ga0081607	11331	Ga0081607	113613	False	Methylobacter-123 (UID203)	Methylobacter-123 (UID203)	PAS/PAC sensor signal transduction histidine kinase	hypothetical protein
